page_id,NAME,ID,ALIGN,EYE,HAIR,SEX,LGBTQ,ALIVE,APPEARANCES,MONTH_FA,YEAR_FA,UNIVERSE
491058,Masano (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Living Characters,4,April,2005,Marvel
49568,Megara (Earth-616),NA,Good Characters,NA,NA,Female Characters,FALSE,Deceased Characters,4,September,2005,Marvel
591894,Nancy (Earth-616),Public Identity,Good Characters,NA,Blond Hair,Female Characters,FALSE,Living Characters,4,January,2005,Marvel
16447,Nick Shelley (Earth-616),Secret Identity,NA,Black Eyes,No Hair,Male Characters,FALSE,Living Characters,4,August,2005,Marvel
40106,Noreen Tanaka (Earth-616),Public Identity,Bad Characters,NA,Black Hair,Female Characters,FALSE,Living Characters,4,April,2005,Marvel
67340,Ogun (Santerians) (Earth-616),Secret Identity,Good Characters,NA,White Hair,Male Characters,FALSE,Living Characters,4,October,2005,Marvel
67341,Oshun (Santerians) (Earth-616),Secret Identity,Good Characters,NA,White Hair,Female Characters,FALSE,Living Characters,4,October,2005,Marvel
67342,Oya (Santerians) (Earth-616),Secret Identity,Good Characters,Brown Eyes,White Hair,Female Characters,FALSE,Living Characters,4,October,2005,Marvel
491059,Raina (Earth-616),Secret Identity,Bad Characters,NA,NA,Female Characters,FALSE,Living Characters,4,April,2005,Marvel
39767,Ryuki,NA,NA,NA,NA,Female Characters,FALSE,Living Characters,4,May,2005,Marvel
719798,Saul Bowen (Earth-616),No Dual Identity,NA,Brown Eyes,Brown Hair,Female Characters,FALSE,Living Characters,4,April,2005,Marvel
62255,Shane Shooter (Earth-616),NA,Good Characters,Black Eyes,NA,Male Characters,FALSE,Living Characters,4,January,2005,Marvel
118095,Suspiria (Earth-616),NA,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,February,2005,Marvel
557398,Timothy Black (Earth-616),NA,Bad Characters,NA,Black Hair,Male Characters,FALSE,Deceased Characters,4,June,2005,Marvel
192741,Vasily Karpov (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,FALSE,Living Characters,4,May,2005,Marvel
269680,Vladimir Rasputin (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,December,2005,Marvel
723487,Abigail (Earth-616),NA,NA,Brown Eyes,Blond Hair,Female Characters,FALSE,Living Characters,4,August,2006,Marvel
302657,Ace (G.R.A.M.P.A) (Earth-616),Secret Identity,Good Characters,Blue Eyes,NA,Male Characters,FALSE,Living Characters,4,January,2006,Marvel
287336,Adam (Priest) (Earth-616),Public Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,FALSE,Living Characters,4,January,2006,Marvel
447452,Alix Buchanan (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,October,2006,Marvel
209111,Cauldron (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,FALSE,Living Characters,4,January,2006,Marvel
350332,Cube Warden (Earth-616),Secret Identity,Bad Characters,NA,Brown Hair,Male Characters,FALSE,Deceased Characters,4,October,2006,Marvel
304112,Doctor Foster (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Deceased Characters,4,January,2006,Marvel
420859,Elizabeth Vaughn (Earth-616),NA,Good Characters,NA,Brown Hair,Female Characters,FALSE,Living Characters,4,August,2006,Marvel
45040,Eric Marshall (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,August,2006,Marvel
30465,Frederick Slade (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Pink Hair,Male Characters,FALSE,Living Characters,4,May,2006,Marvel
318620,Greta Abbott (Earth-616),Public Identity,Bad Characters,NA,Blond Hair,Female Characters,FALSE,Deceased Characters,4,February,2006,Marvel
79426,Hamilton Slade (Vampire) (Earth-616),Secret Identity,Bad Characters,Red Eyes,Red Hair,Male Characters,FALSE,Deceased Characters,4,April,2006,Marvel
323944,Harriet Munroe (Earth-616),NA,Good Characters,Brown Eyes,Grey Hair,Female Characters,FALSE,Living Characters,4,July,2006,Marvel
79424,Jack Starsmore (Earth-616),Secret Identity,Neutral Characters,NA,Black Hair,Male Characters,FALSE,Living Characters,4,April,2006,Marvel
73636,Jonas Fogg (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,FALSE,Living Characters,4,May,2006,Marvel
73934,Jordan Harrison (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,FALSE,Living Characters,4,September,2006,Marvel
260722,Juan-Carlos Sanchez (Earth-616),Secret Identity,NA,Hazel Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,May,2006,Marvel
35484,Number None (Earth-616),NA,Bad Characters,NA,NA,NA,FALSE,Deceased Characters,4,December,2006,Marvel
55527,Pitiful One (Earth-616),NA,NA,Red Eyes,Bald,Male Characters,FALSE,Living Characters,4,March,2006,Marvel
722149,Primus Vand (Earth-616),Public Identity,NA,Red Eyes,Bald,Male Characters,FALSE,Living Characters,4,May,2006,Marvel
32487,Salo (Earth-616),Public Identity,NA,Green Eyes,No Hair,Male Characters,FALSE,Deceased Characters,4,June,2006,Marvel
565000,Theseus (Earth-616),Public Identity,NA,NA,Black Hair,Male Characters,FALSE,Living Characters,4,May,2006,Marvel
90145,Adjudicator (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,August,2007,Marvel
55314,Agent Crimson (Earth-616),Secret Identity,Good Characters,NA,Red Hair,Male Characters,FALSE,Living Characters,4,April,2007,Marvel
42772,Ana\u00efs (Earth-616),Secret Identity,Good Characters,Yellow Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,February,2007,Marvel
68938,Avery Allen (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,FALSE,Deceased Characters,4,September,2007,Marvel
692183,Benjamin Grimm (Onslaught Reborn) (Earth-616),Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,FALSE,Living Characters,4,February,2007,Marvel
323918,Bluestreak (Telepath) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,December,2007,Marvel
39455,Cadena (Earth-616),Secret Identity,Bad Characters,NA,Bald,Female Characters,FALSE,Living Characters,4,January,2007,Marvel
483986,Dafi (Earth-616),NA,NA,Green Eyes,Brown Hair,Female Characters,FALSE,Living Characters,4,February,2007,Marvel
264455,Ddraig Goch (Earth-616),Public Identity,Good Characters,Red Eyes,No Hair,Male Characters,FALSE,Living Characters,4,April,2007,Marvel
452773,Desmond Alexander (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,February,2007,Marvel
665826,Eddie Gunnam (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Red Hair,Male Characters,FALSE,Living Characters,4,August,2007,Marvel
83061,Elijah Cross (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,May,2007,Marvel
666146,Forget-Me-Not (Earth-616),Secret Identity,Bad Characters,Purple Eyes,Purple Hair,Female Characters,FALSE,Living Characters,4,August,2007,Marvel
101638,Hecatomb (Earth-616),Secret Identity,Bad Characters,NA,No Hair,NA,FALSE,Living Characters,4,June,2007,Marvel
746057,Ilgych (Earth-616),Secret Identity,NA,Blue Eyes,Orange Hair,Male Characters,FALSE,Living Characters,4,June,2007,Marvel
677487,Jake Martino (Earth-616),Public Identity,Bad Characters,NA,Bald,Male Characters,FALSE,Deceased Characters,4,May,2007,Marvel
692171,James Howlett (Onslaught Reborn) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,January,2007,Marvel
107984,Julien Howe (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,August,2007,Marvel
666141,Kid Twist (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,June,2007,Marvel
66864,Ko-rel (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,FALSE,Deceased Characters,4,September,2007,Marvel
320603,Mirage (Telepath) (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,4,December,2007,Marvel
666143,Morphine (Earth-616),Secret Identity,Bad Characters,NA,Bald,Male Characters,FALSE,Living Characters,4,June,2007,Marvel
484318,Paulletz (Earth-616),NA,NA,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,February,2007,Marvel
86692,Prima Donna (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,December,2007,Marvel
413761,Professor Cartwright (Earth-616),NA,Bad Characters,Brown Eyes,White Hair,Male Characters,FALSE,Deceased Characters,4,March,2007,Marvel
692176,Reed Richards (Onslaught Reborn) (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,February,2007,Marvel
692181,Susan Storm (Onslaught Reborn) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,4,February,2007,Marvel
484193,Sylatin (Earth-616),NA,NA,Green Eyes,NA,Male Characters,FALSE,Living Characters,4,February,2007,Marvel
624804,Tank (National Force) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,July,2007,Marvel
592652,Thor Odinson (Onslaught Reborn) (Earth-616),NA,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,4,February,2007,Marvel
556250,Torrent (Earth-616),NA,NA,NA,NA,Female Characters,FALSE,Living Characters,4,May,2007,Marvel
665035,Ultra-Adaptoid (Earth-616),NA,Bad Characters,NA,NA,NA,FALSE,Living Characters,4,October,2007,Marvel
51531,Violet Lightner (Earth-616),Secret Identity,Good Characters,Green Eyes,Purple Hair,Female Characters,FALSE,Living Characters,4,June,2007,Marvel
86451,Vox (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,FALSE,Living Characters,4,December,2007,Marvel
50222,Wendell Volker (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,April,2007,Marvel
132270,Andrea von Strucker (Clone) (Earth-616),Secret Identity,NA,Blue Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,4,September,2008,Marvel
293361,Anthony Stark (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,NA,Male Characters,FALSE,Deceased Characters,4,June,2008,Marvel
292361,"Barbara Morse (Retro, Skrull) (Earth-616)",Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,4,June,2008,Marvel
488558,Carstairs (Earth-616),Public Identity,NA,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,July,2008,Marvel
488559,Colletti (Earth-616),Public Identity,NA,NA,NA,Male Characters,FALSE,Living Characters,4,July,2008,Marvel
170825,Daniel Sylva (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,November,2008,Marvel
168889,Ea (Earth-616),Secret Identity,Neutral Characters,NA,NA,NA,FALSE,Living Characters,4,July,2008,Marvel
185655,Edie Eisenhardt (Earth-616),NA,Good Characters,Blue Eyes,Auburn Hair,Female Characters,FALSE,Deceased Characters,4,November,2008,Marvel
335902,Farida Hussain (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,November,2008,Marvel
488560,Farrell (Earth-616),Public Identity,NA,NA,Bald,Male Characters,FALSE,Living Characters,4,July,2008,Marvel
172389,Furi Wamu (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,FALSE,Living Characters,4,November,2008,Marvel
664998,Gorani (Earth-616),NA,NA,NA,NA,NA,FALSE,Living Characters,4,October,2008,Marvel
120465,Harrow (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,NA,FALSE,Deceased Characters,4,July,2008,Marvel
330784,Hector Mu\u00f1oz (Earth-616),NA,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,September,2008,Marvel
316430,Hiro-Amin (Earth-616),No Dual Identity,Bad Characters,NA,Bald,Male Characters,FALSE,Deceased Characters,4,August,2008,Marvel
100818,Iceberg (Liberteens) (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,FALSE,Living Characters,4,January,2008,Marvel
521855,Kwai Jun-Fan (Earth-616),NA,Good Characters,NA,Black Hair,Male Characters,FALSE,Deceased Characters,4,September,2008,Marvel
675876,Lucas Collier (Earth-616),Public Identity,Good Characters,NA,Brown Hair,Male Characters,FALSE,Deceased Characters,4,April,2008,Marvel
626675,Marys Iosama (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,FALSE,Living Characters,4,December,2008,Marvel
122066,Nicolas Weir (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,July,2008,Marvel
100805,Revolutionary (Skrull) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,FALSE,Deceased Characters,4,January,2008,Marvel
439904,Roy Reyna (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Living Characters,4,December,2008,Marvel
498907,Soulstriker (Earth-616),NA,Bad Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,December,2008,Marvel
117498,Spinner (Earth-616),Known to Authorities Identity,Good Characters,NA,Blond Hair,Female Characters,FALSE,Living Characters,4,June,2008,Marvel
117496,Think Tank (Earth-616),Secret Identity,Good Characters,NA,NA,Male Characters,FALSE,Living Characters,4,June,2008,Marvel
116119,Tyro (Earth-616),Public Identity,Good Characters,Orange Eyes,No Hair,Male Characters,FALSE,Living Characters,4,May,2008,Marvel
160842,Vincent Crane (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,September,2008,Marvel
325563,Wayeb (Earth-616),Secret Identity,Bad Characters,Red Eyes,NA,Male Characters,FALSE,Living Characters,4,June,2008,Marvel
316405,Yenrag (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Living Characters,4,September,2008,Marvel
736844,Albrecht Kerfoot (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,November,2009,Marvel
316723,Barroas (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,FALSE,Living Characters,4,October,2009,Marvel
688326,Compound D,NA,Bad Characters,NA,NA,NA,FALSE,Living Characters,4,December,2009,Marvel
184898,Conner Sims (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,January,2009,Marvel
316305,Endrik (Earth-616),Public Identity,NA,NA,NA,Male Characters,FALSE,Living Characters,4,November,2009,Marvel
278630,Galin (Earth-616),Public Identity,Neutral Characters,NA,NA,Male Characters,FALSE,Deceased Characters,4,November,2009,Marvel
391315,God-Killer (Earth-616),Secret Identity,Bad Characters,NA,NA,NA,FALSE,Living Characters,4,March,2009,Marvel
264761,Hunter Stein (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,4,August,2009,Marvel
733529,Jaten (Earth-616),Secret Identity,NA,Black Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,June,2009,Marvel
280117,Jenna Cole (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,FALSE,Living Characters,4,March,2009,Marvel
580323,John Adams (Earth-616),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,FALSE,Living Characters,4,December,2009,Marvel
685495,John Barnes (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,November,2009,Marvel
269087,M-21 (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,NA,FALSE,Living Characters,4,September,2009,Marvel
437926,North Norrell (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Living Characters,4,October,2009,Marvel
521862,Quan Yaozu (Earth-616),NA,Good Characters,NA,Black Hair,Male Characters,FALSE,Living Characters,4,March,2009,Marvel
278871,Rana Philips (Earth-616),Secret Identity,Bad Characters,Yellow Eyeballs,Green Hair,Female Characters,FALSE,Deceased Characters,4,October,2009,Marvel
260699,Richard Earle Amtower IV (Earth-616),Secret Identity,Bad Characters,NA,Bald,Male Characters,FALSE,Living Characters,4,August,2009,Marvel
438817,Sachet Nelson (Earth-616),NA,Neutral Characters,NA,NA,Female Characters,FALSE,Living Characters,4,October,2009,Marvel
735227,Tyler Bridge (Earth-616),No Dual Identity,Good Characters,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,August,2009,Marvel
341458,Aaron Downing (Earth-616),No Dual Identity,Good Characters,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,August,2010,Marvel
341464,Ahmed Noor (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,August,2010,Marvel
663689,Annie (Noh-Varr) (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,February,2010,Marvel
485866,Arachne (Earth-616),No Dual Identity,Bad Characters,NA,Black Hair,Female Characters,FALSE,Living Characters,4,January,2010,Marvel
341460,Ben Huth (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Living Characters,4,August,2010,Marvel
309810,Casey Kinmont (Earth-616),No Dual Identity,Good Characters,Black Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,January,2010,Marvel
341467,Cornell Gray (Earth-616),Secret Identity,Good Characters,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,August,2010,Marvel
389781,Corregidora (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,September,2010,Marvel
401296,Firebrick (Earth-616),Secret Identity,NA,NA,NA,Male Characters,FALSE,Deceased Characters,4,December,2010,Marvel
598175,Hairball 2 (Earth-616),Secret Identity,Good Characters,NA,White Hair,Male Characters,FALSE,Living Characters,4,May,2010,Marvel
434082,Iron Cross (Uberkommandos) (Earth-616),NA,Bad Characters,NA,Bald,Male Characters,FALSE,Living Characters,4,December,2010,Marvel
522823,Keemia Alvarado (Earth-616),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,February,2010,Marvel
341469,Lauren Wolfe (Earth-616),Secret Identity,Good Characters,NA,Bald,Female Characters,FALSE,Living Characters,4,August,2010,Marvel
740699,Lisk (Earth-616),No Dual Identity,NA,Brown Eyes,Grey Hair,Male Characters,FALSE,Living Characters,4,February,2010,Marvel
347802,Luz (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,4,September,2010,Marvel
432650,Mageth (Earth-616),NA,Good Characters,NA,Brown Hair,Female Characters,FALSE,Living Characters,4,October,2010,Marvel
389780,Martillo (Earth-616),NA,Bad Characters,NA,Brown Hair,Male Characters,FALSE,Living Characters,4,September,2010,Marvel
400958,Mercedes Merced (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,FALSE,Living Characters,4,November,2010,Marvel
320831,Mrs. Gwynn (Earth-616),Public Identity,Neutral Characters,Black Eyeballs,Pink Hair,Female Characters,FALSE,Living Characters,4,April,2010,Marvel
307036,Oksana Sytsevich (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,FALSE,Deceased Characters,4,March,2010,Marvel
594217,Phanto (Earth-616),Public Identity,Bad Characters,Yellow Eyes,Red Hair,Male Characters,FALSE,Living Characters,4,November,2010,Marvel
438540,Ray Cooper (Earth-616),No Dual Identity,NA,NA,NA,Male Characters,FALSE,Living Characters,4,March,2010,Marvel
341471,Robert Gomorra (Earth-616),Secret Identity,Good Characters,NA,Black Hair,Male Characters,FALSE,Living Characters,4,August,2010,Marvel
401343,Royal Blue (Earth-616),Secret Identity,NA,NA,NA,Male Characters,FALSE,Deceased Characters,4,December,2010,Marvel
330806,Sigmund Fell (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,FALSE,Deceased Characters,4,April,2010,Marvel
716568,Susan Morse (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,4,August,2010,Marvel
297584,Thanatos (Earth-616),Secret Identity,Neutral Characters,NA,NA,Male Characters,FALSE,Living Characters,4,January,2010,Marvel
302912,Todd Keller (Earth-616),No Dual Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,FALSE,Living Characters,4,March,2010,Marvel
439421,Tyree Robinson (Earth-616),Public Identity,Good Characters,NA,NA,Male Characters,FALSE,Living Characters,4,November,2010,Marvel
318460,Ul-Uhar (Earth-616),Secret Identity,Neutral Characters,Black Eyes,No Hair,Male Characters,FALSE,Deceased Characters,4,April,2010,Marvel
337442,Vasili Dassaiev (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Living Characters,4,June,2010,Marvel
302908,Will Stern (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,March,2010,Marvel
468582,Alter Ego (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,FALSE,Living Characters,4,March,2011,Marvel
436245,Angela (Dinu) (Earth-616),NA,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,4,February,2011,Marvel
489301,Austin Cao (Earth-616),No Dual Identity,Good Characters,NA,Black Hair,Male Characters,FALSE,Living Characters,4,November,2011,Marvel
624664,Chain (Legion Personality) (Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,July,2011,Marvel
439409,Coulmier (Earth-616),NA,Bad Characters,Blue Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,January,2011,Marvel
751877,Dieter Lehmann (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,4,September,2011,Marvel
489864,Friendless (Earth-616),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,FALSE,Living Characters,4,November,2011,Marvel
473333,Gus Grim (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,September,2011,Marvel
519129,Hoss (Earth-616),NA,Good Characters,Blue Eyes,Blond Hair,Male Characters,FALSE,Deceased Characters,4,May,2011,Marvel
444930,Id (Selfish Moon) (Earth-616),Secret Identity,Bad Characters,White Eyes,Grey Hair,Male Characters,FALSE,Deceased Characters,4,April,2011,Marvel
462985,James Dore Jr. (Zombie Clone) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Living Characters,4,May,2011,Marvel
470804,Kaylie Doran (Earth-616),Public Identity,Good Characters,NA,Blond Hair,Female Characters,FALSE,Living Characters,4,April,2011,Marvel
462357,Klobok (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,FALSE,Deceased Characters,4,May,2011,Marvel
504572,Kuurth (Earth-616),Secret Identity,Bad Characters,Orange Eyes,No Hair,Male Characters,FALSE,Living Characters,4,July,2011,Marvel
460578,Kyle Richmond (Zombie Clone) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Deceased Characters,4,May,2011,Marvel
469986,Lewis Green (Earth-616),Public Identity,Good Characters,NA,Black Hair,Male Characters,FALSE,Deceased Characters,4,August,2011,Marvel
470194,Linda Lewis (Zombie Clone) (Earth-616),Secret Identity,Bad Characters,White Eyes,Blond Hair,Female Characters,FALSE,Deceased Characters,4,May,2011,Marvel
425122,Macho Gomez (Earth-616),No Dual Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,March,2011,Marvel
750499,Paul Hall (Earth-616),No Dual Identity,NA,Green Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,November,2011,Marvel
437928,Perun (Dark Ocean Society) (Earth-616),NA,NA,NA,NA,NA,FALSE,Living Characters,4,February,2011,Marvel
438186,Rococo (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,TRUE,Living Characters,4,May,2011,Marvel
437765,Sputnik (Dark Ocean Society) (Earth-616),NA,NA,NA,NA,NA,FALSE,Living Characters,4,February,2011,Marvel
624301,Time-Sink (Legion Personality) (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,FALSE,Living Characters,4,July,2011,Marvel
509337,Torran (Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,FALSE,Living Characters,4,September,2011,Marvel
513751,Azuma G\u014dda (Earth-616),NA,Bad Characters,Green Eyes,Black Hair,Male Characters,FALSE,Deceased Characters,4,March,2012,Marvel
570230,Ben Goldendawn (Earth-616),Secret Identity,Good Characters,White Eyes,NA,Male Characters,FALSE,Living Characters,4,November,2012,Marvel
575691,Calcabrina (Earth-616),Secret Identity,Bad Characters,NA,NA,Female Characters,FALSE,Living Characters,4,December,2012,Marvel
534277,Camazotz (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Living Characters,4,August,2012,Marvel
565078,Coyote (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Living Characters,4,December,2012,Marvel
570472,Darlene Wright (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,4,December,2012,Marvel
659750,David Michael Gray (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Deceased Characters,4,August,2012,Marvel
503135,Death-Stalker (Earth-616),NA,Bad Characters,NA,NA,Female Characters,FALSE,Living Characters,4,February,2012,Marvel
528699,Dennis Wells (Earth-616),NA,Good Characters,Brown Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,June,2012,Marvel
584647,Dragoon (Earth-616),Secret Identity,Good Characters,Red Eyes,NA,Male Characters,FALSE,Deceased Characters,4,July,2012,Marvel
556517,Dreaming Maiden (Earth-616),NA,NA,NA,Black Hair,Female Characters,FALSE,Living Characters,4,December,2012,Marvel
510294,Evangelist (Earth-616),NA,Bad Characters,Black Eyes,White Hair,Male Characters,FALSE,Deceased Characters,4,April,2012,Marvel
523753,Fongji Wu (Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,FALSE,Living Characters,4,June,2012,Marvel
570242,Forrest Goldendawn (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,November,2012,Marvel
511222,Frederick Dukes (Clone) (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,FALSE,Deceased Characters,4,January,2012,Marvel
594460,Gullveig (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,FALSE,Living Characters,4,October,2012,Marvel
532835,Harvester (Assassin) (Earth-616),Secret Identity,Bad Characters,NA,NA,Male Characters,FALSE,Deceased Characters,4,May,2012,Marvel
534289,Jacawitz (Earth-616),NA,NA,NA,NA,Male Characters,FALSE,Living Characters,4,August,2012,Marvel
558373,Jake (Mutant) (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,FALSE,Deceased Characters,4,December,2012,Marvel
545103,Keep (Earth-616),Public Identity,Bad Characters,NA,NA,Male Characters,FALSE,Living Characters,4,August,2012,Marvel
627938,Living Wind (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Brown Hair,Male Characters,FALSE,Living Characters,4,December,2012,Marvel
